experiment,game_id,entity,controller_type,seat,decisions,llm_calls,p008_calls_per_decision,p008_tokens_per_decision,p008_seconds_per_decision,p001_initial_disagreement,p002_opinion_change,p003_consensus_formation,p004_decider_adoption_any,p005_minority_adoption,p006_review_intervention,p009_fallback_rate,p010_advice_diversity,p011_officer_decider_agreement,p009_error_rate__chief_grand_secretary,p009_error_rate__emperor,p009_error_rate__grand_secretary_1,p009_error_rate__grand_secretary_2,p004_adoption__chief_grand_secretary,p004_adoption__grand_secretary_1,p004_adoption__grand_secretary_2,p009_error_rate__baseline-1,p009_error_rate__baseline-2,p009_error_rate__baseline-3,p009_error_rate__chancellor,p009_error_rate__grand_marshal,p009_error_rate__imperial_counsellor,p004_adoption__chancellor,p004_adoption__grand_marshal,p009_error_rate__minister_1,p009_error_rate__minister_2,p009_error_rate__minister_3,p004_adoption__minister_1,p004_adoption__minister_2,p004_adoption__minister_3,p009_error_rate__menxia,p009_error_rate__shangshu,p009_error_rate__zhongshu,p004_adoption__zhongshu,p009_error_rate__leader,p009_error_rate__member_1,p009_error_rate__member_2,p009_error_rate__member_3,p004_adoption__member_1,p004_adoption__member_2,p004_adoption__member_3
court-vs-baseline,QI06,baseline-3,llm_baseline,4,64,112,1.75,10204.46875,4.344734375,,,,,,,0.015625,,,,,,,,,,,,0.4375,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI07,qin-court,qin_court,1,85,379,4.458823529411765,34120.75294117647,65.12514117647058,0.48148148148148145,,,0.9058823529411765,,,0.0,1.4567901234567902,0.6971677559912854,,0.011627906976744186,,,,,,,,,0.0,0.22641509433962265,0.19607843137254902,0.7647058823529411,0.6296296296296297,,,,,,,,,,,,,,,,,
court-vs-baseline,QI07,baseline-1,llm_baseline,2,56,64,1.1428571428571428,6647.642857142857,3.065714285714286,,,,,,,0.0,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI07,baseline-2,llm_baseline,3,75,84,1.12,6534.826666666667,2.9612666666666665,,,,,,,0.0,,,,,,,,,,,0.10714285714285714,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI07,baseline-3,llm_baseline,4,79,85,1.0759493670886076,6272.7594936708865,3.15126582278481,,,,,,,0.0,,,,,,,,,,,,0.07058823529411765,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI08,baseline-1,llm_baseline,1,59,59,1.0,7565.9152542372885,18.865237288135592,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI08,qin-court,qin_court,2,59,249,4.220338983050848,30360.372881355932,45.435,0.3050847457627119,,,0.9056603773584906,,,0.0,1.2881355932203389,0.7830188679245284,,0.0,,,,,,,,,0.13432835820895522,0.06349206349206349,0.016666666666666666,0.8113207547169812,0.7547169811320755,,,,,,,,,,,,,,,,,
court-vs-baseline,QI08,baseline-2,llm_baseline,3,70,70,1.0,8208.914285714285,28.125642857142857,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI08,baseline-3,llm_baseline,4,72,72,1.0,8075.777777777777,21.199305555555554,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI09,baseline-1,llm_baseline,1,93,116,1.2473118279569892,9480.90322580645,30.12990322580645,,,,,,,0.021505376344086023,,,,,,,,,,0.21551724137931033,,,,,,,,,,,,,,,,,,,,,,,,
court-vs-baseline,QI09,qin-court,qin_court,2,60,250,4.166666666666667,29488.4,41.56903333333333,0.26785714285714285,,,0.9833333333333333,,,0.0,1.25,0.8648809523809524,,0.0625,,,,,,,,,0.0,0.09090909090909091,0.0,0.9464285714285714,0.7833333333333333,,,,,,,,,,,,,,,,,
court-vs-baseline,QI09,baseline-2,llm_baseline,3,116,131,1.1293103448275863,9649.094827586207,26.597327586206895,,,,,,,0.008620689655172414,,,,,,,,,,,0.12213740458015267,,,,,,,,,,,,,,,,,,,,,,,
