game,seat,z_luck,z_luck_massets,n_decisions,points,rank,net_worth
sane-168,4.0,0.04166666666666663,0.08333333333333326,11.0,3.0,1.0,3968.0
sane-169,1.0,-0.05503472222222222,-0.015451388888888917,24.0,1.0,3.0,1202.0
sane-169,2.0,0.0064814814814815325,0.05555555555555547,30.0,3.0,1.0,6369.0
sane-169,3.0,0.015873015873015928,-0.03273809523809523,14.0,2.0,2.0,2559.0
sane-169,4.0,-0.05758928571428573,-0.015293040293040294,26.0,0.0,4.0,0.0
sane-170,1.0,-0.04062500000000002,0.018402777777777768,20.0,1.0,3.0,2573.0
sane-170,2.0,0.03385416666666663,0.0,8.0,3.0,1.0,3832.0
sane-170,3.0,0.02854422147900404,0.02071720549981415,26.0,0.0,4.0,2034.0
sane-170,4.0,-0.02162629757785467,-0.028546712802768215,17.0,2.0,2.0,2933.0
sane-171,1.0,-0.04539141414141418,-0.03188131313131315,22.0,3.0,1.0,3786.0
sane-171,2.0,0.03645833333333326,0.01215277777777779,24.0,0.0,4.0,1139.0
sane-171,3.0,0.0360449735449736,-0.042328042328042326,21.0,2.0,2.0,3707.0
sane-171,4.0,-0.05482456140350883,0.01159147869674182,19.0,1.0,3.0,2642.0
sane-172,1.0,0.00925925925925919,-0.00694444444444442,18.0,3.0,1.0,4564.0
sane-172,2.0,-0.01131313131313133,0.006464646464646506,25.0,2.0,2.0,3392.0
sane-172,3.0,-0.14823232323232327,-0.13851010101010103,10.0,0.0,4.0,1643.0
sane-172,4.0,0.011363636363636354,0.037878787878787845,11.0,1.0,3.0,3367.0
sane-173,1.0,0.15797101449275364,0.013043478260869601,23.0,1.0,3.0,2289.0
sane-173,2.0,-0.06770833333333337,-0.05989583333333337,16.0,3.0,1.0,3579.0
sane-173,3.0,-0.009117535903250207,-0.06549981103552532,21.0,2.0,2.0,3519.0
sane-173,4.0,-0.0021407685881371097,0.05331035923141192,19.0,0.0,4.0,2233.0
sane-174,1.0,0.04387883358471589,0.03155513217432715,17.0,2.0,2.0,3257.0
sane-174,2.0,0.0658333333333333,-0.025833333333333375,20.0,3.0,1.0,3704.0
sane-174,3.0,0.03092948717948718,0.06137820512820513,26.0,1.0,3.0,2915.0
sane-174,4.0,-0.039583333333333415,0.023958333333333304,20.0,0.0,4.0,2230.0
sane-175,1.0,0.07552083333333326,-0.041666666666666685,16.0,3.0,1.0,4106.0
sane-175,2.0,-0.020848811752701868,0.017079383240710566,44.0,0.0,4.0,817.0
sane-175,3.0,-0.04513888888888884,0.06874999999999998,25.0,1.0,3.0,1846.0
sane-175,4.0,0.02777777777777779,0.03703703703703698,9.0,2.0,2.0,3830.0
sane-176,1.0,-0.04679232804232808,-0.026289682539682557,21.0,3.0,1.0,4124.0
sane-176,2.0,-0.03211382113821126,-0.01595528455284556,41.0,0.0,4.0,0.0
sane-176,3.0,-0.0013888888888888284,-0.006249999999999978,20.0,2.0,2.0,3509.0
sane-176,4.0,-0.015491452991453047,-0.012820512820512775,26.0,1.0,3.0,2500.0
sane-177,1.0,-0.05501578767707799,0.005333674688513423,31.0,3.0,1.0,3402.0
sane-177,2.0,-0.07786777245333404,-0.10866150523570312,22.0,2.0,2.0,2787.0
sane-177,3.0,0.02297008547008539,-0.029380341880341887,26.0,0.0,4.0,2259.0
sane-177,4.0,-0.019444444444444486,-0.03888888888888886,15.0,1.0,3.0,2272.0
