experiment,controller_type,seat,mean_delta_v_executed,mean_regret,n_decisions,game_index
sane_random,sane_random,2.0,32.615672162372604,24.624655285567037,55.0,53
sane_random,sane_random,3.0,33.019341918712854,133.7222332075213,58.0,53
sane_random,sane_random,4.0,-8.681417447370741,107.25997967591616,60.0,53
sane_random,sane_random,1.0,80.190659100135,2.0322064920487586,52.0,54
sane_random,sane_random,2.0,58.652699557259,143.03293368482926,56.0,54
sane_random,sane_random,3.0,8.699625270620787,42.74112259813138,69.0,54
sane_random,sane_random,4.0,-15.307278688121011,173.88887588710827,57.0,54
sane_random,sane_random,1.0,52.61500611606617,73.53474251630922,62.0,55
sane_random,sane_random,2.0,47.171637096896475,12.118777565355616,59.0,55
sane_random,sane_random,3.0,31.171869037334137,63.69094290026447,59.0,55
sane_random,sane_random,4.0,42.50977575099606,58.32727023213845,53.0,55
sane_random,sane_random,1.0,60.8644822350528,92.43131994138896,65.0,56
sane_random,sane_random,2.0,70.53846646356061,6.332559336060075,54.0,56
sane_random,sane_random,3.0,81.72616408214338,105.66629658768755,62.0,56
sane_random,sane_random,4.0,-17.54710612374923,97.16420492419205,60.0,56
sane_random,sane_random,1.0,11.890357142124863,95.42666713401916,73.0,57
sane_random,sane_random,2.0,78.6617614213356,52.50189649541641,59.0,57
sane_random,sane_random,3.0,78.14937483492416,57.177902906012214,58.0,57
sane_random,sane_random,4.0,3.0302396118761528,68.9170344730006,57.0,57
sane_random,sane_random,1.0,56.6744143904921,121.50608786776148,59.0,58
sane_random,sane_random,2.0,53.16364466910083,122.41471077361108,71.0,58
sane_random,sane_random,3.0,36.15145034481168,52.19877356072931,59.0,58
sane_random,sane_random,4.0,31.309894622181282,129.3940419493488,57.0,58
sane_random,sane_random,1.0,51.323897454968126,29.21604732224622,53.0,59
sane_random,sane_random,2.0,140.4428503691113,47.892681534205984,54.0,59
sane_random,sane_random,3.0,29.133447016159263,29.692468220135577,57.0,59
sane_random,sane_random,4.0,52.62427558885603,288.1094459965558,67.0,59
sane_random,sane_random,1.0,39.62609215892832,60.39906272413612,57.0,60
sane_random,sane_random,2.0,98.49691754450559,36.543510639731196,57.0,60
sane_random,sane_random,3.0,59.15358054823141,51.59876723274957,57.0,60
sane_random,sane_random,4.0,85.56324357628623,139.92895918441147,59.0,60
sane_random,sane_random,1.0,71.87841294344398,61.57608781743425,59.0,61
